award,category,film,href,name,winner,year
Oscar,Actor,Sounder,/wiki/Sounder_(film),Paul Winfield,0,1972
Oscar,Actor,Save the Tiger,/wiki/Save_the_Tiger,Jack Lemmon,1,1973
Oscar,Actor,Last Tango in Paris,/wiki/Last_Tango_in_Paris,Marlon Brando,0,1973
Oscar,Actor,The Last Detail,/wiki/The_Last_Detail,Jack Nicholson,0,1973
Oscar,Actor,Serpico,/wiki/Serpico,Al Pacino,0,1973
Oscar,Actor,The Sting,/wiki/The_Sting,Robert Redford,0,1973
Oscar,Actor,Harry and Tonto,/wiki/Harry_and_Tonto,Art Carney,1,1974
Oscar,Actor,Murder on the Orient Express,/wiki/Murder_on_the_Orient_Express_(1974_film),Albert Finney,0,1974
Oscar,Actor,Lenny,/wiki/Lenny_(film),Dustin Hoffman,0,1974
Oscar,Actor,Chinatown,/wiki/Chinatown_(1974_film),Jack Nicholson,0,1974
Oscar,Actor,The Godfather Part II,/wiki/The_Godfather_Part_II,Al Pacino,0,1974
Oscar,Actor,One Flew Over the Cuckoo's Nest,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),Jack Nicholson,1,1975
Oscar,Actor,The Sunshine Boys,/wiki/The_Sunshine_Boys_(1975_film),Walter Matthau,0,1975
Oscar,Actor,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,Al Pacino,0,1975
Oscar,Actor,The Man in the Glass Booth,/wiki/The_Man_in_the_Glass_Booth,Maximilian Schell,0,1975
Oscar,Actor,"Give 'em Hell, Harry!","/wiki/Give_%27em_Hell,_Harry!",James Whitmore,0,1975
Oscar,Actor,Network,/wiki/Network_(film),Peter Finch,1,1976
Oscar,Actor,Taxi Driver,/wiki/Taxi_Driver,Robert De Niro,0,1976
Oscar,Actor,Seven Beauties,/wiki/Seven_Beauties,Giancarlo Giannini,0,1976
Oscar,Actor,Network,/wiki/Network_(film),William Holden,0,1976
Oscar,Actor,Rocky,/wiki/Rocky,Sylvester Stallone,0,1976
Oscar,Actor,The Goodbye Girl,/wiki/The_Goodbye_Girl,Richard Dreyfuss,1,1977
Oscar,Actor,Annie Hall,/wiki/Annie_Hall,Woody Allen,0,1977
Oscar,Actor,Equus,/wiki/Equus_(film),Richard Burton,0,1977
Oscar,Actor,A Special Day,/wiki/A_Special_Day,Marcello Mastroianni,0,1977
Oscar,Actor,Saturday Night Fever,/wiki/Saturday_Night_Fever,John Travolta,0,1977
Oscar,Actor,Coming Home,/wiki/Coming_Home_(1978_film),Jon Voight,1,1978
Oscar,Actor,Heaven Can Wait,/wiki/Heaven_Can_Wait_(1978_film),Warren Beatty,0,1978
Oscar,Actor,The Buddy Holly Story,/wiki/The_Buddy_Holly_Story,Gary Busey,0,1978
Oscar,Actor,The Deer Hunter,/wiki/The_Deer_Hunter,Robert De Niro,0,1978
Oscar,Actor,The Boys from Brazil,/wiki/The_Boys_from_Brazil_(film),Laurence Olivier,0,1978
Oscar,Actor,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,Dustin Hoffman,1,1979
Oscar,Actor,The China Syndrome,/wiki/The_China_Syndrome,Jack Lemmon,0,1979
Oscar,Actor,...And Justice for All,/wiki/...And_Justice_for_All_(film),Al Pacino,0,1979
Oscar,Actor,All That Jazz,/wiki/All_That_Jazz_(film),Roy Scheider,0,1979
Oscar,Actor,Being There,/wiki/Being_There,Peter Sellers,0,1979
Oscar,Actor,Raging Bull,/wiki/Raging_Bull,Robert De Niro,1,1980
Oscar,Actor,The Great Santini,/wiki/The_Great_Santini,Robert Duvall,0,1980
Oscar,Actor,The Elephant Man,/wiki/The_Elephant_Man_(film),John Hurt,0,1980
Oscar,Actor,Tribute,/wiki/Tribute_(1980_film),Jack Lemmon,0,1980
Oscar,Actor,The Stunt Man,/wiki/The_Stunt_Man,Peter O'Toole,0,1980
Oscar,Actor,On Golden Pond,/wiki/On_Golden_Pond_(1981_film),Henry Fonda,1,1981
Oscar,Actor,Reds,/wiki/Reds_(film),Warren Beatty,0,1981
Oscar,Actor,Atlantic City,/wiki/Atlantic_City_(1980_film),Burt Lancaster,0,1981
