category,name,winner,award,href,year,film
Actor,Paul Winfield,0,Oscar,/wiki/Sounder_(film),1972,Sounder
Actor,Jack Lemmon,1,Oscar,/wiki/Save_the_Tiger,1973,Save the Tiger
Actor,Marlon Brando,0,Oscar,/wiki/Last_Tango_in_Paris,1973,Last Tango in Paris
Actor,Jack Nicholson,0,Oscar,/wiki/The_Last_Detail,1973,The Last Detail
Actor,Al Pacino,0,Oscar,/wiki/Serpico,1973,Serpico
Actor,Robert Redford,0,Oscar,/wiki/The_Sting,1973,The Sting
Actor,Art Carney,1,Oscar,/wiki/Harry_and_Tonto,1974,Harry and Tonto
Actor,Albert Finney,0,Oscar,/wiki/Murder_on_the_Orient_Express_(1974_film),1974,Murder on the Orient Express
Actor,Dustin Hoffman,0,Oscar,/wiki/Lenny_(film),1974,Lenny
Actor,Jack Nicholson,0,Oscar,/wiki/Chinatown_(1974_film),1974,Chinatown
Actor,Al Pacino,0,Oscar,/wiki/The_Godfather_Part_II,1974,The Godfather Part II
Actor,Jack Nicholson,1,Oscar,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),1975,One Flew Over the Cuckoo's Nest
Actor,Walter Matthau,0,Oscar,/wiki/The_Sunshine_Boys_(1975_film),1975,The Sunshine Boys
Actor,Al Pacino,0,Oscar,/wiki/Dog_Day_Afternoon,1975,Dog Day Afternoon
Actor,Maximilian Schell,0,Oscar,/wiki/The_Man_in_the_Glass_Booth,1975,The Man in the Glass Booth
Actor,James Whitmore,0,Oscar,"/wiki/Give_%27em_Hell,_Harry!",1975,"Give 'em Hell, Harry!"
Actor,Peter Finch,0,Oscar,/wiki/Network_(film),1976,Network
Actor,Robert De Niro,0,Oscar,/wiki/Taxi_Driver,1976,Taxi Driver
Actor,Giancarlo Giannini,0,Oscar,/wiki/Seven_Beauties,1976,Seven Beauties
Actor,William Holden,0,Oscar,/wiki/Network_(film),1976,Network
Actor,Sylvester Stallone,0,Oscar,/wiki/Rocky,1976,Rocky
Actor,Richard Dreyfuss,1,Oscar,/wiki/The_Goodbye_Girl,1977,The Goodbye Girl
Actor,Woody Allen,0,Oscar,/wiki/Annie_Hall,1977,Annie Hall
Actor,Richard Burton,0,Oscar,/wiki/Equus_(film),1977,Equus
Actor,Marcello Mastroianni,0,Oscar,/wiki/A_Special_Day,1977,A Special Day
Actor,John Travolta,0,Oscar,/wiki/Saturday_Night_Fever,1977,Saturday Night Fever
Actor,Jon Voight,1,Oscar,/wiki/Coming_Home_(1978_film),1978,Coming Home
Actor,Warren Beatty,0,Oscar,/wiki/Heaven_Can_Wait_(1978_film),1978,Heaven Can Wait
Actor,Gary Busey,0,Oscar,/wiki/The_Buddy_Holly_Story,1978,The Buddy Holly Story
Actor,Robert De Niro,0,Oscar,/wiki/The_Deer_Hunter,1978,The Deer Hunter
Actor,Laurence Olivier,0,Oscar,/wiki/The_Boys_from_Brazil_(film),1978,The Boys from Brazil
Actor,Dustin Hoffman,1,Oscar,/wiki/Kramer_vs._Kramer,1979,Kramer vs. Kramer
Actor,Jack Lemmon,0,Oscar,/wiki/The_China_Syndrome,1979,The China Syndrome
Actor,Al Pacino,0,Oscar,/wiki/...And_Justice_for_All_(film),1979,...And Justice for All
Actor,Roy Scheider,0,Oscar,/wiki/All_That_Jazz_(film),1979,All That Jazz
Actor,Peter Sellers,0,Oscar,/wiki/Being_There,1979,Being There
Actor,Robert De Niro,1,Oscar,/wiki/Raging_Bull,1980,Raging Bull
Actor,Robert Duvall,0,Oscar,/wiki/The_Great_Santini,1980,The Great Santini
Actor,John Hurt,0,Oscar,/wiki/The_Elephant_Man_(film),1980,The Elephant Man
