award,category,film,href,name,winner,year
Oscar,Actor,The Pursuit of Happyness,/wiki/The_Pursuit_of_Happyness,Will Smith,0,2006
Oscar,Actor,Michael Clayton,/wiki/Michael_Clayton_(film),George Clooney,0,2007
Oscar,Actor,Sweeney Todd: The Demon Barber of Fleet Street,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),Johnny Depp,0,2007
Oscar,Actor,In the Valley of Elah,/wiki/In_the_Valley_of_Elah,Tommy Lee Jones,0,2007
Oscar,Actor,Eastern Promises,/wiki/Eastern_Promises,Viggo Mortensen,0,2007
Oscar,Actor,The Visitor,/wiki/The_Visitor_(2007_drama_film),Richard Jenkins,0,2008
Oscar,Actor,Frost/Nixon,/wiki/Frost/Nixon_(film),Frank Langella,0,2008
Oscar,Actor,The Curious Case of Benjamin Button,/wiki/The_Curious_Case_of_Benjamin_Button_(film),Brad Pitt,0,2008
Oscar,Actor,The Wrestler,/wiki/The_Wrestler_(2008_film),Mickey Rourke,0,2008
Oscar,Actor,Up in the Air,/wiki/Up_in_the_Air_(2009_film),George Clooney,0,2009
Oscar,Actor,A Single Man,/wiki/A_Single_Man,Colin Firth,0,2009
Oscar,Actor,Invictus,/wiki/Invictus_(film),Morgan Freeman,0,2009
Oscar,Actor,The Hurt Locker,/wiki/The_Hurt_Locker,Jeremy Renner,0,2009
Oscar,Actor,Biutiful,/wiki/Biutiful,Javier Bardem,0,2010
Oscar,Actor,True Grit,/wiki/True_Grit_(2010_film),Jeff Bridges,0,2010
Oscar,Actor,The Social Network,/wiki/The_Social_Network,Jesse Eisenberg,0,2010
Oscar,Actor,127 Hours,/wiki/127_Hours,James Franco,0,2010
Oscar,Actor,A Better Life,/wiki/A_Better_Life,Demin Bichir,0,2011
Oscar,Actor,The Descendants,/wiki/The_Descendants,George Clooney,0,2011
Oscar,Actor,Tinker Tailor Soldier Spy,/wiki/Tinker_Tailor_Soldier_Spy_(film),Gary Oldman,0,2011
Oscar,Actor,Moneyball,/wiki/Moneyball_(film),Brad Pitt,0,2011
Oscar,Actor,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,Bradley Cooper,0,2012
Oscar,Actor,Les Misrables,/wiki/Les_Mis%C3%A9rables_(2012_film),Hugh Jackman,0,2012
Oscar,Actor,The Master,/wiki/The_Master_(2012_film),Joaquin Phoenix,0,2012
Oscar,Actor,Flight,/wiki/Flight_(2012_film),Denzel Washington,0,2012
Oscar,Actor,American Hustle,/wiki/American_Hustle,Christian Bale,0,2013
Oscar,Actor,Nebraska,/wiki/Nebraska_(film),Bruce Dern,0,2013
Oscar,Actor,The Wolf of Wall Street,/wiki/The_Wolf_of_Wall_Street_(2013_film),Leonardo DiCaprio,0,2013
Oscar,Actor,12 Years a Slave,/wiki/12_Years_a_Slave_(film),Chiwetel Ejiofor,0,2013
Oscar,Actor,Foxcatcher,/wiki/Foxcatcher,Steve Carell,0,2014
Oscar,Actor,American Sniper,/wiki/American_Sniper,Bradley Cooper,0,2014
Oscar,Actor,The Imitation Game,/wiki/The_Imitation_Game,Benedict Cumberbatch,0,2014
Oscar,Actor,Birdman,/wiki/Birdman_(film),Michael Keaton,0,2014
Oscar,Actor,Trumbo,/wiki/Trumbo_(2015_film),Bryan Cranston,0,2015
Oscar,Actor,The Martian,/wiki/The_Martian_(film),Matt Damon,0,2015
Oscar,Actor,Steve Jobs,/wiki/Steve_Jobs_(film),Michael Fassbender,0,2015
Oscar,Actor,The Danish Girl,/wiki/The_Danish_Girl_(film),Eddie Redmayne,0,2015
Oscar,Actor,Manchester by the Sea,/wiki/Manchester_by_the_Sea_(film),Casey Affleck,0,2016
Oscar,Actor,Hacksaw Ridge,/wiki/Hacksaw_Ridge,Andrew Garfield,0,2016
Oscar,Actor,La La Land,/wiki/La_La_Land_(film),Ryan Gosling,0,2016
Oscar,Actor,Captain Fantastic,/wiki/Captain_Fantastic_(film),Viggo Mortensen,0,2016
Oscar,Actor,Fences,/wiki/Fences_(film),Denzel Washington,0,2016
Oscar,Actress,The Grifters,/wiki/The_Grifters_(film),Anjelica Huston,0,1990
Oscar,Actress,Pretty Woman,/wiki/Pretty_Woman,Julia Roberts,0,1990
Oscar,Actress,Postcards from the Edge,/wiki/Postcards_from_the_Edge_(film),Meryl Streep,0,1990
Oscar,Actress,Mr. & Mrs. Bridge,/wiki/Mr._and_Mrs._Bridge,Joanne Woodward,0,1990
Oscar,Actress,Thelma & Louise,/wiki/Thelma_%26_Louise,Geena Davis,0,1991
Oscar,Actress,Rambling Rose,/wiki/Rambling_Rose_(film),Laura Dern,0,1991
Oscar,Actress,For the Boys,/wiki/For_the_Boys,Bette Midler,0,1991
Oscar,Actress,Thelma & Louise,/wiki/Thelma_%26_Louise,Susan Sarandon,0,1991
Oscar,Actress,Indochine,/wiki/Indochine_(film),Catherine Deneuve,0,1992
Oscar,Actress,Passion Fish,/wiki/Passion_Fish,Mary McDonnell,0,1992
Oscar,Actress,Love Field,/wiki/Love_Field_(film),Michelle Pfeiffer,0,1992
Oscar,Actress,Lorenzo's Oil,/wiki/Lorenzo%27s_Oil,Susan Sarandon,0,1992
Oscar,Actress,What's Love Got to Do with It,/wiki/What%27s_Love_Got_to_Do_with_It_(film),Angela Bassett,0,1993
Oscar,Actress,Six Degrees of Separation,/wiki/Six_Degrees_of_Separation_(film),Stockard Channing,0,1993
Oscar,Actress,The Remains of the Day,/wiki/The_Remains_of_the_Day_(film),Emma Thompson,0,1993
Oscar,Actress,Shadowlands,/wiki/Shadowlands_(1993_film),Debra Winger,0,1993
Oscar,Actress,Nell,/wiki/Nell_(film),Jodie Foster,0,1994
Oscar,Actress,Tom & Viv,/wiki/Tom_%26_Viv,Miranda Richardson,0,1994
Oscar,Actress,Little Women,/wiki/Little_Women_(1994_film),Winona Ryder,0,1994
Oscar,Actress,The Client,/wiki/The_Client_(1994_film),Susan Sarandon,0,1994
Oscar,Actress,Leaving Las Vegas,/wiki/Leaving_Las_Vegas,Elisabeth Shue,0,1995
Oscar,Actress,Casino,/wiki/Casino_(film),Sharon Stone,0,1995
Oscar,Actress,The Bridges of Madison County,/wiki/The_Bridges_of_Madison_County_(film),Meryl Streep,0,1995
Oscar,Actress,Sense and Sensibility,/wiki/Sense_and_Sensibility_(film),Emma Thompson,0,1995
Oscar,Actress,Secrets & Lies,/wiki/Secrets_%26_Lies_(film),Brenda Blethyn,0,1996
Oscar,Actress,Marvin's Room,/wiki/Marvin%27s_Room_(film),Diane Keaton,0,1996
Oscar,Actress,The English Patient,/wiki/The_English_Patient_(film),Kristin Scott Thomas,0,1996
Oscar,Actress,Breaking the Waves,/wiki/Breaking_the_Waves,Emily Watson,0,1996
Oscar,Actress,The Wings of the Dove,/wiki/The_Wings_of_the_Dove_(1997_film),Helena Bonham Carter,0,1997
Oscar,Actress,Afterglow,/wiki/Afterglow_(film),Julie Christie,0,1997
Oscar,Actress,Mrs Brown,/wiki/Mrs_Brown,Judi Dench,0,1997
Oscar,Actress,Titanic,/wiki/Titanic_(1997_film),Kate Winslet,0,1997
Oscar,Actress,Elizabeth,/wiki/Elizabeth_(film),Cate Blanchett,0,1998
Oscar,Actress,Central Station,/wiki/Central_Station_(film),Fernanda Montenegro,0,1998
Oscar,Actress,One True Thing,/wiki/One_True_Thing,Meryl Streep,0,1998
Oscar,Actress,Hilary and Jackie,/wiki/Hilary_and_Jackie,Emily Watson,0,1998
Oscar,Actress,American Beauty,/wiki/American_Beauty_(1999_film),Annette Bening,0,1999
Oscar,Actress,Tumbleweeds,/wiki/Tumbleweeds_(1999_film),Janet McTeer,0,1999
Oscar,Actress,The End of the Affair,/wiki/The_End_of_the_Affair_(1999_film),Julianne Moore,0,1999
Oscar,Actress,Music of the Heart,/wiki/Music_of_the_Heart,Meryl Streep,0,1999
Oscar,Actress,The Contender,/wiki/The_Contender_(2000_film),Joan Allen,0,2000
Oscar,Actress,Chocolat,/wiki/Chocolat_(2000_film),Juliette Binoche,0,2000
Oscar,Actress,Requiem for a Dream,/wiki/Requiem_for_a_Dream,Ellen Burstyn,0,2000
Oscar,Actress,You Can Count on Me,/wiki/You_Can_Count_on_Me,Laura Linney,0,2000
Oscar,Actress,Iris,/wiki/Iris_(film),Judi Dench,0,2001
Oscar,Actress,Moulin Rouge!,/wiki/Moulin_Rouge!,Nicole Kidman,0,2001
Oscar,Actress,In the Bedroom,/wiki/In_the_Bedroom,Sissy Spacek,0,2001
Oscar,Actress,Bridget Jones's Diary,/wiki/Bridget_Jones%27s_Diary_(film),Rene Zellweger,0,2001
Oscar,Actress,Frida,/wiki/Frida,Salma Hayek,0,2002
Oscar,Actress,Unfaithful,/wiki/Unfaithful_(2002_film),Diane Lane,0,2002
Oscar,Actress,Far from Heaven,/wiki/Far_from_Heaven,Julianne Moore,0,2002
Oscar,Actress,Chicago,/wiki/Chicago_(2002_film),Rene Zellweger,0,2002
Oscar,Actress,Whale Rider,/wiki/Whale_Rider,Keisha Castle-Hughes,0,2003
Oscar,Actress,Something's Gotta Give,/wiki/Something%27s_Gotta_Give_(film),Diane Keaton,0,2003
Oscar,Actress,In America,/wiki/In_America_(film),Samantha Morton,0,2003
Oscar,Actress,21 Grams,/wiki/21_Grams,Naomi Watts,0,2003
Oscar,Actress,Being Julia,/wiki/Being_Julia,Annette Bening,0,2004
Oscar,Actress,Maria Full of Grace,/wiki/Maria_Full_of_Grace,Catalina Sandino Moreno,0,2004
Oscar,Actress,Vera Drake,/wiki/Vera_Drake,Imelda Staunton,0,2004
Oscar,Actress,Eternal Sunshine of the Spotless Mind,/wiki/Eternal_Sunshine_of_the_Spotless_Mind,Kate Winslet,0,2004
Oscar,Actress,Mrs Henderson Presents,/wiki/Mrs_Henderson_Presents,Judi Dench,0,2005
Oscar,Actress,Transamerica,/wiki/Transamerica_(film),Felicity Huffman,0,2005
Oscar,Actress,Pride & Prejudice,/wiki/Pride_%26_Prejudice_(2005_film),Keira Knightley,0,2005
Oscar,Actress,North Country,/wiki/North_Country_(film),Charlize Theron,0,2005
Oscar,Actress,Volver,/wiki/Volver,Penlope Cruz,0,2006
Oscar,Actress,Notes on a Scandal,/wiki/Notes_on_a_Scandal_(film),Judi Dench,0,2006
Oscar,Actress,The Devil Wears Prada,/wiki/The_Devil_Wears_Prada_(film),Meryl Streep,0,2006
Oscar,Actress,Little Children,/wiki/Little_Children_(film),Kate Winslet,0,2006
Oscar,Actress,Elizabeth: The Golden Age,/wiki/Elizabeth:_The_Golden_Age,Cate Blanchett,0,2007
Oscar,Actress,Away from Her,/wiki/Away_from_Her,Julie Christie,0,2007
Oscar,Actress,The Savages,/wiki/The_Savages_(film),Laura Linney,0,2007
Oscar,Actress,Juno,/wiki/Juno_(film),Ellen Page,0,2007
Oscar,Actress,Rachel Getting Married,/wiki/Rachel_Getting_Married,Anne Hathaway,0,2008
Oscar,Actress,Changeling,/wiki/Changeling_(film),Angelina Jolie,0,2008
Oscar,Actress,Frozen River,/wiki/Frozen_River,Melissa Leo,0,2008
Oscar,Actress,Doubt,/wiki/Doubt_(2008_film),Meryl Streep,0,2008
Oscar,Actress,The Last Station,/wiki/The_Last_Station,Helen Mirren,0,2009
Oscar,Actress,An Education,/wiki/An_Education,Carey Mulligan,0,2009
Oscar,Actress,Precious,/wiki/Precious_(film),Gabourey Sidibe,0,2009
Oscar,Actress,Julie & Julia,/wiki/Julie_%26_Julia,Meryl Streep,0,2009
Oscar,Actress,The Kids Are All Right,/wiki/The_Kids_Are_All_Right_(film),Annette Bening,0,2010
Oscar,Actress,Rabbit Hole,/wiki/Rabbit_Hole_(film),Nicole Kidman,0,2010
Oscar,Actress,Winter's Bone,/wiki/Winter%27s_Bone,Jennifer Lawrence,0,2010
Oscar,Actress,Blue Valentine,/wiki/Blue_Valentine_(film),Michelle Williams,0,2010
Oscar,Actress,Albert Nobbs,/wiki/Albert_Nobbs,Glenn Close,0,2011
Oscar,Actress,The Help,/wiki/The_Help_(film),Viola Davis,0,2011
Oscar,Actress,The Girl with the Dragon Tattoo,/wiki/The_Girl_with_the_Dragon_Tattoo_(2011_film),Rooney Mara,0,2011
Oscar,Actress,My Week with Marilyn,/wiki/My_Week_with_Marilyn,Michelle Williams,0,2011
Oscar,Actress,Zero Dark Thirty,/wiki/Zero_Dark_Thirty,Jessica Chastain,0,2012
Oscar,Actress,Amour,/wiki/Amour_(2012_film),Emmanuelle Riva,0,2012
Oscar,Actress,Beasts of the Southern Wild,/wiki/Beasts_of_the_Southern_Wild,Quvenzhan Wallis,0,2012
Oscar,Actress,The Impossible,/wiki/The_Impossible_(2012_film),Naomi Watts,0,2012
Oscar,Actress,American Hustle,/wiki/American_Hustle,Amy Adams,0,2013
Oscar,Actress,Gravity,/wiki/Gravity_(film),Sandra Bullock,0,2013
Oscar,Actress,Philomena,/wiki/Philomena_(film),Judi Dench,0,2013
Oscar,Actress,August: Osage County,/wiki/August:_Osage_County_(film),Meryl Streep,0,2013
Oscar,Actress,"Two Days, One Night","/wiki/Two_Days,_One_Night",Marion Cotillard,0,2014
Oscar,Actress,The Theory of Everything,/wiki/The_Theory_of_Everything_(2014_film),Felicity Jones,0,2014
Oscar,Actress,Gone Girl,/wiki/Gone_Girl_(film),Rosamund Pike,0,2014
Oscar,Actress,Wild,/wiki/Wild_(2014_film),Reese Witherspoon,0,2014
Oscar,Actress,Carol,/wiki/Carol_(film),Cate Blanchett,0,2015
Oscar,Actress,Joy,/wiki/Joy_(film),Jennifer Lawrence,0,2015
Oscar,Actress,45 Years,/wiki/45_Years,Charlotte Rampling,0,2015
Oscar,Actress,Brooklyn,/wiki/Brooklyn_(film),Saoirse Ronan,0,2015
Oscar,Actress,Elle,/wiki/Elle_(film),Isabelle Huppert,0,2016
Oscar,Actress,Loving,/wiki/Loving_(2016_film),Ruth Negga,0,2016
Oscar,Actress,Jackie,/wiki/Jackie_(2016_film),Natalie Portman,0,2016
Oscar,Actress,La La Land,/wiki/La_La_Land_(film),Emma Stone,0,2016
Oscar,Actress,Florence Foster Jenkins,/wiki/Florence_Foster_Jenkins_(film),Meryl Streep,0,2016
Oscar,Adapted Screenplay,Dances with Wolves,/wiki/Dances_with_Wolves,Michael Blake,1,1990
Oscar,Adapted Screenplay,Awakenings,/wiki/Awakenings,Steven Zaillian,0,1990
Oscar,Adapted Screenplay,Goodfellas,/wiki/Goodfellas,Nicholas Pileggi,0,1990
Oscar,Adapted Screenplay,The Grifters,/wiki/The_Grifters_(film),Donald E. Westlake,0,1990
Oscar,Adapted Screenplay,Reversal of Fortune,/wiki/Reversal_of_Fortune,Nicholas Kazan,0,1990
Oscar,Adapted Screenplay,The Silence of the Lambs,/wiki/The_Silence_of_the_Lambs_(film),Ted Tally,1,1991
Oscar,Adapted Screenplay,Europa Europa,/wiki/Europa_Europa,Agnieszka Holland,0,1991
Oscar,Adapted Screenplay,Fried Green Tomatoes,/wiki/Fried_Green_Tomatoes,Fannie Flagg,0,1991
Oscar,Adapted Screenplay,JFK,/wiki/JFK_(film),Oliver Stone,0,1991
Oscar,Adapted Screenplay,The Prince of Tides,/wiki/The_Prince_of_Tides,Pat Conroy,0,1991
Oscar,Adapted Screenplay,Howards End,/wiki/Howards_End_(film),Ruth Prawer Jhabvala,1,1992
Oscar,Adapted Screenplay,Enchanted April,/wiki/Enchanted_April_(1992_film),Peter Barnes,0,1992
Oscar,Adapted Screenplay,The Player,/wiki/The_Player_(film),Michael Tolkin,0,1992
Oscar,Adapted Screenplay,A River Runs Through It,/wiki/A_River_Runs_Through_It_(film),Richard Friedenberg,0,1992
Oscar,Adapted Screenplay,Scent of a Woman,/wiki/Scent_of_a_Woman_(1992_film),Bo Goldman,0,1992
Oscar,Adapted Screenplay,Schindler's List,/wiki/Schindler%27s_List,Steven Zaillian,1,1993
Oscar,Adapted Screenplay,The Age of Innocence,/wiki/The_Age_of_Innocence_(1993_film),Jay Cocks,0,1993
