year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,stars_count,writers_count,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1982,Actor,My Favorite Year,Peter O'Toole,0.0,0.0,0.0,0.0,92,20123620.0,7.4,85.0,100.0,4.0,1.0,1,0,1,0,0,0,0,0,1
1983,Actor,Tender Mercies,Robert Duvall,0.0,1.0,0.0,1.0,92,8440000.0,7.4,82.0,85.0,5.0,1.0,1,0,1,0,0,0,1,0,0
1983,Actor,Educating Rita,Michael Caine,1.0,1.0,0.0,0.0,110,14600000.0,7.2,81.0,85.0,2.0,1.0,0,0,1,0,0,0,0,0,1
1983,Actor,The Dresser,Tom Courtenay,0.0,1.0,0.0,0.0,118,5310748.0,7.7,88.0,100.0,7.0,1.0,0,0,1,0,0,0,0,0,1
1983,Actor,The Dresser,Albert Finney,0.0,0.0,0.0,0.0,118,5310748.0,7.7,88.0,100.0,7.0,1.0,0,0,1,0,0,0,0,0,1
1984,Actor,Amadeus,F. Murray Abraham,0.0,1.0,0.0,1.0,161,52000000.0,8.3,95.0,95.0,8.0,1.0,1,1,0,0,0,0,0,1,0
1984,Actor,Starman,Jeff Bridges,0.0,0.0,0.0,0.0,115,28700000.0,7.0,69.0,81.0,4.0,1.0,1,0,1,0,0,0,0,0,1
1984,Actor,Under the Volcano,Albert Finney,0.0,0.0,0.0,0.0,112,2556800.0,7.1,70.0,75.0,3.0,1.0,1,1,0,0,0,0,1,0,0
1984,Actor,Amadeus,Tom Hulce,0.0,0.0,0.0,0.0,161,52000000.0,8.3,95.0,95.0,8.0,1.0,1,1,0,0,0,0,0,1,0
1984,Actor,The Killing Fields,Sam Waterston,0.0,0.0,0.0,0.0,141,34700291.0,7.9,92.0,93.0,5.0,1.0,0,1,0,0,0,1,0,0,0
1985,Actor,Kiss of the Spider Woman,William Hurt,1.0,0.0,0.0,1.0,121,17005229.0,7.4,81.0,88.0,6.0,1.0,0,1,0,0,0,0,0,1,0
1985,Actor,Witness,Harrison Ford,0.0,0.0,0.0,0.0,112,68700000.0,7.4,80.0,92.0,1.0,1.0,1,1,0,0,0,1,0,0,0
1985,Actor,Murphy's Romance,James Garner,0.0,0.0,0.0,0.0,107,30762621.0,7.0,74.0,71.0,4.0,1.0,1,0,0,1,0,1,0,0,0
1985,Actor,Prizzi's Honor,Jack Nicholson,0.0,1.0,0.0,0.0,130,26657534.0,6.8,62.0,88.0,2.0,1.0,1,1,0,0,0,0,1,0,0
1985,Actor,Runaway Train,Jon Voight,0.0,1.0,0.0,0.0,110,7700000.0,7.3,76.0,87.0,7.0,1.0,1,1,0,0,0,1,0,0,0
1986,Actor,The Color of Money,Paul Newman,0.0,0.0,0.0,1.0,120,52300000.0,7.0,73.0,89.0,3.0,1.0,1,1,0,0,0,0,0,0,1
1986,Actor,Round Midnight,Dexter Gordon,0.0,0.0,0.0,0.0,133,10000000.0,7.4,90.0,100.0,8.0,1.0,1,1,0,0,0,0,0,0,1
1986,Actor,Children of a Lesser God,William Hurt,0.0,0.0,0.0,0.0,119,31853080.0,7.2,78.0,81.0,4.0,2.0,1,1,0,0,0,0,0,0,1
1986,Actor,Salvador,James Woods,0.0,0.0,0.0,0.0,123,1500000.0,7.5,86.0,92.0,6.0,1.0,1,1,0,0,0,0,1,0,0
1987,Actor,Wall Street,Michael Douglas,0.0,1.0,0.0,1.0,126,43800000.0,7.4,81.0,78.0,6.0,1.0,1,1,0,0,0,0,0,0,1
1987,Actor,Broadcast News,William Hurt,0.0,0.0,0.0,0.0,133,67331309.0,7.2,78.0,98.0,3.0,1.0,1,1,0,0,0,0,0,0,1
1987,Actor,Ironweed,Jack Nicholson,0.0,0.0,0.0,0.0,143,7393346.0,6.8,60.0,65.0,7.0,1.0,1,1,0,0,0,1,0,0,0
1987,Actor,"Good Morning, Vietnam",Robin Williams,0.0,1.0,0.0,0.0,120,123900000.0,7.3,82.0,89.0,2.0,1.0,1,1,0,0,0,1,0,0,0
1988,Actor,Rain Man,Dustin Hoffman,0.0,1.0,0.0,1.0,133,354800000.0,8.0,90.0,90.0,3.0,1.0,1,1,0,0,0,0,0,0,1
1988,Actor,Mississippi Burning,Gene Hackman,0.0,0.0,0.0,0.0,128,34600000.0,7.8,90.0,89.0,2.0,1.0,1,1,0,0,0,1,0,0,0
1988,Actor,Big,Tom Hanks,0.0,1.0,0.0,0.0,104,151700000.0,7.3,82.0,97.0,4.0,2.0,1,0,1,0,0,0,1,0,0
